id,age,gender,use_otc_capsules,ibuprofen_unbranded,paracetamol_unbranded,neurofen,panadol,flarin,anadin,other,joint_pain,a_message,a_like,a_dislike,b_message,b_like,b_dislike,c_message,c_like,c_dislike,d_message,d_like,d_dislike,e_message,e_like,e_dislike,favourite,why_favourite,least_favourite,why_least_favourite,Would any of these videos make you likely to purchase Flarin?,Have you seen an advert for Flarin on TV in the last 12 months?,Have you seen an advert for Nurofen on TV in the last 12 months?,Have you seen an advert for Anadin on TV in the last 12 months?,Have you seen an advert for Panadol on TV in the last 12 months?,Do you have any other feedback?,Thank you for your participation. Please confirm that you would like a £20 donation to be made on your behalf to Bone Cancer Research Trust.,Start Date (UTC),Submit Date (UTC),Network ID
p49xz647jp13adp49xikv51el687c5mj,41-50,Female,1,1,1,0,0,0,0,0,"Yes, regularly",That the product is a superior version of ibuprofen,the graphics,the voice,that the product is a more effective version of ibuprofen,i didn't like it,the tennis game was really distracting and the bit with the chap at the end lifting his arms up just seemed patronising,that florin has been proven to be more effective than standard ibuprofen,the graphics of the tablets,the guy cheering at the end - just not necessary,thatr flarin is an effective efficient form of ibuprofen,the story was good,the V sign at the end,about a brand of ibuprofen,the graphics and the male voiceover,the female voice - over exaggerated,Video C (Dog),the story seemed more genuine,Video E (Runner),the story was not believable,C or D would - i liked the story that went with them,No,Yes,No,Yes,no,1,2021-12-21 19:06:03,2021-12-21 19:18:20,5ebbfb2d38
8lps3i46q53ow46e8lps3i7dmct4w6zw,41-50,Female,1,1,1,0,0,0,0,0,No,Buy this brand as it is better than others,Nothing really,Corny name play and old fashioned format,That the effectiveness of the medication is proven and here's a real example,I didn't like the advert,Feels like a fake case study and why should I believe it's better than all the others just because they keep telling me.,The product is better than the others and softer on your stomach,Nothing,"The bold claims, the case study and voice over was better though.",The message is no different from the others in this survey,Nothing,"Just saying that a product is twice as good as another make the viewer cynical. It would be better to be a more memorable for another reason, such as humour.",The product works.,Nothing,I didn't believe the case study,Video C (Dog),The most convincing case study and the dog tricks added interest,Video D (Cyclist),"Very basic, no story to it",Not really,No,Not sure,No,No,The bold scientific claims make the viewer cynical. It would be more useful to relate to the person in the advert.,1,2021-12-21 14:42:12,2021-12-21 15:01:22,6ed1e6bbdc
xrcpi99enkqvsosspyj9xrcpi990yuqp,30-40,Female,1,1,1,0,0,0,1,0,"Yes, occasionally",Flarin is kinder on the stomach compared to other pain medications,"Not cheesy, just informative. Liked the musical touch",Voice sounded somewhat stern,Flarin isneffective for joint pain,The v arms in the proven,Music was distracting and echo at beginning was annoying,Proven to help joint pain,Same pros as last advert,'-,Proven relief for joint pain,Clear and concise,"Found the finger v very clunky, didnt work as well as the arms which is much more natural",Relief for joint pain,Same as before,Would like the arms in the v to match the ibuproven voice over,Video A (Cartoon),"Clear, music is fun but not obtrusive, clearer message on stomach formulation which seems to be your usp",Video D (Cyclist),"Slightly clichè with middle aged white male cyclist, clunky v sign, bit cheesy","Video 1 due to stomach issues, this grabbed my attention",No,No,No,No,,1,2021-12-21 12:15:28,2021-12-21 12:24:31,7352e99bee
t1dtq7mf2ccy5ganqe7t1dtgf7cvyzdb,51-60,Female,1,0,1,0,0,0,0,0,"Yes, regularly",That the drug is good for pain and protects your stomach,it was clear and simple,it could have explained better how the protection worked and how effective the pain relief was in comparison to similar medication,It's the best drug for joint pain,It worked better having a person featured,You didn't see the person properly so they seemed quite remote,This drugs helps you keep doing the things you enjoy,It featured the person better,You didn't see them close up or see them talking so it didn't feel very personal or as relatable,It helps keep you active,This felt much more relatable as you saw the cyclist close up,It would work better if spoken to the camera rather than all as voice over,It helps you keep active every day,It showed a person like me doing an every day healthy activity,Would have been better if she had spoken to the camera,Video D (Cyclist),It was more interesting to watch and you saw the individual better,Video B (Tennis),It felt too remote as the player was too far away from the camera,"Yes, more likely the cyclist",No,Not sure,Not sure,Not sure,no,1,2021-12-21 10:33:23,2021-12-21 10:59:44,4925ca3251
tqmppvyengvygwntqmpget6wgbdvt8hl,41-50,Female,1,1,1,0,0,0,0,0,No,"Use this product for joint pain, but the picture of the stomach sticks in your head so doesn't cement it as for joint pain but protects your stomach",It didn't have an actor pretending to be in pain,A whole body example where you see the pain flare in a joint and the medicine in the stomach also,That this would be good for sporty people with joint pain,I preferred the voice to A,The image of the sports person at the end looked a little cheaply made,That the medicine could be good for the older generation,The dog will appeal to many,Nothing really,That it could be a good medicine for middle age plus who are active,I liked it until the man put his fingers up to the camera,It was the cheesiest out of the ones I've seen so far,"In all of them I am likely to remember the word ibuproven, over flarin. The image of all the people making the v within the wording makes that the last image you remember. That's why I think the elderly man and dog are best",What about a running group of different ages and diversities suggesting any of them could use Flarin?,The cover voice is a bit unappealing,Video C (Dog),It felt and sounded the most genuine and trustworthy to me,Video B (Tennis),The image right at the end looked amateur,The dog one,No,Yes,Yes,Not sure,,1,2021-12-20 22:36:50,2021-12-20 22:56:55,fe79981b94
p5xaoqiyhha3zfp5x1v4iwj8elj1hzdn,51-60,Female,1,0,1,1,0,0,0,0,"Yes, occasionally",Eases joint pain,Simple and straightforward,Nothing,Eases joint pain and protects stomach,More personal and interesting,Nothing,Eases joint pain,Personal,Nothing,Eases joint pain and is gentle on the stomach,Personal,Nothing,Flarin eases joint pain,Personal and concise,Nothing,Video D (Cyclist),More enjoyable,Video A (Cartoon),Less personal,D,No,Not sure,Not sure,Not sure,No,1,2021-12-20 21:16:24,2021-12-20 22:10:19,070d3ea9a6
l78b4ml860719apxvatl78b4tddsc2fo,51-60,Female,1,1,1,0,0,0,0,0,"Yes, regularly",That it doesn't damage your stomach and is twice as powerful,The diagram,The American voice,Its strong enough to combat pain that might inhibit strenuous sport,The British voices sounded a little (but not entirely) more authentic,"The sport looked a bit amateur, maybe that's okay....",It targets arthritic pain in several sites at once,Everyday activity,Could be more ethnically diverse (image/voiceover),"Similar to the Tennis one, that it targets pain sufficiently to enable you to do moderately difficult exercise","This was my prefered advert, bit more rural and dynamic.",The voiceover is a little posh. I'm not sure about the Ibu Proven and the V salute.,"This will work for joint pain, it does what it claims",Seemed the most believable / authentic,The raised arms V into Ibuproven. Though better than the V salute.,Video E (Runner),Bit more lively and convincing,Video B (Tennis),A bit cluttered (background) and blokey,"Probably the last one as she is a woman, running, suffering from lowerback pain which I might identify with",Not sure,Not sure,Not sure,Not sure,"I quite like the logo for Flarin, I think I have seen it, maybe on the shelf. I'm less sure about the IbuproVen, but now I've heard it on a loop it has stuck in my mind. I'm not sure it would convince me to take Ibuprofen long-term but I might try it now.",1,2021-12-20 20:18:48,2021-12-20 20:48:53,24b8eaff4f
3rivzcxsfd4pdbxzr3u3riv5172jdvid,51-60,Male,0,0,0,0,0,0,0,0,No,To alleviate joint pain,Clear and concise,Actors voice,To alleviate joint pain,Short,Looked cheap,To cure joint pain,Short,Bloke putting arms in air,To cure joint pain,Short,Looked cheap,Cure joint pain,Short,Arm thing is tacky,Video A (Cartoon),Looked more professional,Video E (Runner),Doesn't look like a runner,Not really,No,Not sure,Not sure,Not sure,Yoga is the answer,1,2021-12-20 20:11:20,2021-12-20 20:21:18,1e8cfd4280
g12ztry6goyz4h6aj8khhg12ztry6gpk,51-60,Female,1,1,1,0,0,0,0,0,"Yes, occasionally",That the product is proven to work,Simple,American accent,No side effects,Real person,The over emphasis on proven,It works for everything,Human element,The bloke putting his arms up,It keeps you active,Human element,The end sign - too hip,It really works and does not damage you,Less emphasis on the Proven,The Y at the end,Video B (Tennis),Most natural,Video A (Cartoon),I don't like cartoons,Yes,No,Not sure,No,No,I don't really like it watch adverts,1,2021-12-20 19:44:58,2021-12-20 20:02:44,1e8cfd4280
j8frlo0are40qflf40kwj8frlow96e6f,41-50,Male,0,0,0,0,0,0,0,0,"Yes, occasionally",Use their product for joint pain,Good illustration,The narrators voice,Use their product for joint pain,Better narration,Looks budget with the guy at the end,Choose their product for joint pain,Same,Budget filming,Use their product for joint pain,Music,Bit corny,Use their product for joint pain,Music,Dodgy filming,Video A (Cartoon),The filming was too budget,Video E (Runner),Editing/filming was poor,I don't take tablets so no,No,Not sure,No,Not sure,Stick with the cartoon,1,2021-12-20 19:37:44,2021-12-20 19:45:18,539abcfdd7
